extracted_at_utc,source,news_source_id,news_source_name,author,title,description,published_at,url,query
2026-04-21T20:59:10.424309+00:00,newsapi,,Yahoo Entertainment,,Jets predicted to 'stun everyone' with Ohio State defender at No. 2 overall in NFL Draft,This would truly be a stunning pick from the Jets if it actually happened.,2026-04-20T20:48:14Z,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_582fda04-4a38-4041-80a1-7cf6bd1698e3,data engineering OR airflow OR python
2026-04-21T20:59:10.424309+00:00,newsapi,,Yahoo Entertainment,,Anthony Edwards needed PRP injection on knee,Anthony Edwards needed PRP injection on knee,2026-04-20T20:47:59Z,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_6d2e1f00-9138-4c3b-9475-60bdf41e89cb,data engineering OR airflow OR python
2026-04-21T20:59:10.424309+00:00,newsapi,,Pypi.org,,redactai 0.1.1,Make data safe before feeding it to AI,2026-04-20T20:47:41Z,https://pypi.org/project/redactai/0.1.1/,data engineering OR airflow OR python
2026-04-21T20:59:10.424309+00:00,newsapi,business-insider,Business Insider,dreuter@businessinsider.com (Dominick Reuter),Meta fast-tracks fiber technician training to solve a major data center bottleneck,A new four-week training program from Meta aims to address the shortage of fiber technicians as AI companies sprint to build new data centers.,2026-04-20T20:46:20Z,https://www.businessinsider.com/meta-fast-track-fiber-technician-training-fix-data-center-bottleneck-2026-4,data engineering OR airflow OR python
2026-04-21T20:59:10.424309+00:00,newsapi,,Digital Journal,Dr. Tim Sandle,Printed neurons communicate with living brain cells: A computer efficiency boost?,"Since the human brain is five orders of magnitude more energy efficient than a digital computer, it makes sense to look to the brain for inspiration.
The post Printed neurons communicate with living brain cells: A computer efficiency boost? appeared first on …",2026-04-20T20:43:25Z,https://www.digitaljournal.com/tech-science/printed-neurons-communicate-with-living-brain-cells-a-computer-efficiency-boost/article,data engineering OR airflow OR python
2026-04-21T20:59:10.424309+00:00,newsapi,,Yahoo Entertainment,,Seahawks GM John Schneider: No secret we want to trade back and add picks,"The Seahawks currently hold the final pick in the first round of the draft on Thursday night, but they wouldn't mind waiting until Friday to make their first selection.",2026-04-20T20:43:18Z,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_986b2524-a0b6-47ac-8f1b-f3a3438dfef7,data engineering OR airflow OR python
2026-04-21T20:59:10.424309+00:00,newsapi,,GlobeNewswire,Gold Investment Authority,Best Gold IRA Companies For 2026 Announced By Gold Investment Authority,"Gold Investment Authority publishes its 2026 report ranking leading Gold IRA providers, offering investors guidance on retirement diversification through precious metals. Gold Investment Authority publishes its 2026 report ranking leading Gold IRA providers, …",2026-04-20T20:43:00Z,https://www.globenewswire.com/news-release/2026/04/20/3277505/0/en/Best-Gold-IRA-Companies-For-2026-Announced-By-Gold-Investment-Authority.html,data engineering OR airflow OR python
2026-04-21T20:59:10.424309+00:00,newsapi,,Pypi.org,dkistdc@nso.edu,dkist-processing-test 1.41.7rc1,Example instrument code used by the DKIST science data processing pipelines to test processing infrastructure,2026-04-20T20:42:52Z,https://pypi.org/project/dkist-processing-test/1.41.7rc1/,data engineering OR airflow OR python
2026-04-21T20:59:10.424309+00:00,newsapi,,Pypi.org,,cutemarkets-python added to PyPI,Official Python client for the CuteMarkets options market-data API,2026-04-20T20:42:23Z,https://pypi.org/project/cutemarkets-python/,data engineering OR airflow OR python
2026-04-21T20:59:10.424309+00:00,newsapi,,Yahoo Entertainment,,Cy Young Winner Robbie Ray Stabilizes Angels Rotation and Boosts Fantasy Value in Potential Trade,"Cy Young winner Robbie Ray joins the Angels in a potential trade, stabilizing their rotation and boosting fantasy baseball value for 2026.",2026-04-20T20:41:58Z,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_ad85142f-6e14-4647-84e5-ac4a6d518119,data engineering OR airflow OR python
2026-04-21T20:59:10.424309+00:00,newsapi,,Crypto Briefing,Estefano Gomez,"China waives 125% tariff on US ethane, easing trade tensions","Selective tariff relief may reduce EU's need for retaliatory measures, potentially easing broader trade tensions and impacting market dynamics.
The post China waives 125% tariff on US ethane, easing trade tensions appeared first on Crypto Briefing.",2026-04-20T20:41:57Z,https://cryptobriefing.com/china-waives-125-tariff-on-us-ethane-easing-trade-tensions/,data engineering OR airflow OR python
2026-04-21T20:59:10.424309+00:00,newsapi,,Pypi.org,tomkee@ceh.ac.uk,rainfallqc 0.4.3,Quality control for rainfall data,2026-04-20T20:40:06Z,https://pypi.org/project/rainfallqc/0.4.3/,data engineering OR airflow OR python
2026-04-21T20:59:10.424309+00:00,newsapi,associated-press,Associated Press,,Grid Dynamics Scales Hyper-Personalization for Galeries Lafayette; Drives 7% Revenue Increase via AI-Powered Search and Merchandising,"SAN RAMON, Calif.--(BUSINESS WIRE)--Apr 20, 2026-- Grid Dynamics Holdings, Inc. (Nasdaq: GDYN) (“Grid Dynamics”), a premier AI transformation partner for the Fortune 1000, today announced the successful deployment of a hyper-personalized digital shopping expe…",2026-04-20T20:39:51Z,https://apnews.com/press-release/business-wire/grid-dynamics-scales-hyper-personalization-for-galeries-lafayette-drives-7-revenue-increase-via-ai-powered-search-and-merchandising-7d69909c5c5b46d89dc046f8e5a0c070,data engineering OR airflow OR python
2026-04-21T20:59:10.424309+00:00,newsapi,,Pypi.org,,pmxt 2.31.2,Unified prediction market data API - The ccxt for prediction markets,2026-04-20T20:39:20Z,https://pypi.org/project/pmxt/2.31.2/,data engineering OR airflow OR python
2026-04-21T20:59:10.424309+00:00,newsapi,,Yahoo Entertainment,,Former Penn State DT tabbed as 'sleeper' in upcoming NFL draft,"Penn State's Zane Durant is an NFL draft 'sleeper' according to ESPN, despite an uncertain draft status.",2026-04-20T20:39:19Z,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_fe6a2496-ccab-464b-a61e-ee8602ca355f,data engineering OR airflow OR python
2026-04-21T20:59:10.424309+00:00,newsapi,,Yahoo Entertainment,,Texas Longhorns baseball steady at No. 4 in new USA TODAY Coaches Poll,"After a series win at Alabama over the weekend, the Texas Longhorns baseball team stays at No. 4 in the USA TODAY Sports Coaches Poll another week.",2026-04-20T20:38:37Z,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_c8c9771c-fb06-4155-a5cc-9be1c7bd860e,data engineering OR airflow OR python
2026-04-21T20:59:10.424309+00:00,newsapi,,TheJournal.ie,Jane Moore,Housing Minister urged to carry out audit of licence agreements in rental market,Social Democrats TD Rory Hearne said the “increased prevalence” of licence agreements “risks dragging the country back to the dark days of the tenements”.,2026-04-20T20:38:14Z,https://www.thejournal.ie/housing-minister-urged-audit-licence-agreements-renting-rory-hearne-7018730-Apr2026/,data engineering OR airflow OR python
2026-04-21T20:59:10.424309+00:00,newsapi,,ZyCrypto,Brenda Ngari,Ripple Unleashes Bold Plan To Make XRP Fully Quantum-Resistant By 2028,Ripple noted that the XRP Ledger has an inherent structural advantage due to its native key rotation and seed-based key generation.,2026-04-20T20:38:02Z,https://zycrypto.com/ripple-unleashes-bold-plan-to-make-xrp-fully-quantum-resistant-by-2028/,data engineering OR airflow OR python
2026-04-21T20:59:10.424309+00:00,newsapi,,Pypi.org,,redactai 0.1.0,Make data safe before feeding it to AI,2026-04-20T20:37:56Z,https://pypi.org/project/redactai/0.1.0/,data engineering OR airflow OR python
2026-04-21T20:59:10.424309+00:00,newsapi,,Pypi.org,,redactai added to PyPI,Make data safe before feeding it to AI,2026-04-20T20:37:51Z,https://pypi.org/project/redactai/,data engineering OR airflow OR python
2026-04-21T20:59:10.424309+00:00,newsapi,,Yahoo Entertainment,,Red Sox Show Impressive Resilience Vs. Tigers After All-Star Pitcher Goes Down,Boston clawed back to beat Detroit on Patriots' Day after losing Sonny Gray to injury.,2026-04-20T20:37:11Z,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_66f411e2-c6dd-44b6-94a3-aeca08c4eb3e,data engineering OR airflow OR python
2026-04-21T20:59:10.424309+00:00,newsapi,,Dailymail.com,Eliana Silver,"Spain throws open its doors to undocumented migrants: Huge queues continue to form after socialist government granted citizenship to 500,000 people","As of Monday, the migrant regularisation process is underway across the country, with individuals waiting hours at 400+ locations .",2026-04-20T20:36:47Z,https://www.dailymail.com/news/article-15748317/Spain-throws-open-doors-undocumented-migrants-Huge-queues-continue-form-socialist-government-granted-citizenship-500-000-people.html,data engineering OR airflow OR python
2026-04-21T20:59:10.424309+00:00,newsapi,,Yahoo Entertainment,,Super 16 college softball rankings: OU stays No. 1 with Arkansas series win,Do the Oklahoman's College Softball Super 16 rankings have a new No. 1 again? Or did OU stay at the top after a pair of losses? Check out our poll.,2026-04-20T20:36:42Z,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_732441ca-d401-4053-8e04-23fc24f14389,data engineering OR airflow OR python
2026-04-21T20:59:10.424309+00:00,newsapi,,iTnews,,"ASIC, APRA among regulators monitoring Anthropic's Mythos",For potential banking risks.,2026-04-20T20:36:00Z,https://www.itnews.com.au/news/asic-apra-among-regulators-monitoring-anthropics-mythos-625217?utm_source=feed&utm_medium=rss&utm_campaign=iTnews+Technology+feed,data engineering OR airflow OR python
2026-04-21T20:59:10.424309+00:00,newsapi,,iTnews,,NEXTDC to raise $1.5 billion to accelerate Sydney data centre rollout,And align with initial delivery timelines.,2026-04-20T20:36:00Z,https://www.itnews.com.au/news/nextdc-to-raise-15-billion-to-accelerate-sydney-data-centre-rollout-625218?utm_source=feed&utm_medium=rss&utm_campaign=iTnews+,data engineering OR airflow OR python
2026-04-21T20:59:10.424309+00:00,newsapi,,iTnews,,"ASIC, APRA among regulators monitoring Anthropic's Mythos",For potential banking risks.,2026-04-20T20:36:00Z,https://www.itnews.com.au/news/asic-apra-among-regulators-monitoring-anthropics-mythos-625217?utm_source=feed&utm_medium=rss&utm_campaign=iTnews+Financial+Services+feed,data engineering OR airflow OR python
2026-04-21T20:59:10.424309+00:00,newsapi,,iTnews,,"ASIC, APRA among regulators monitoring Anthropic's Mythos",For potential banking risks.,2026-04-20T20:36:00Z,https://www.itnews.com.au/news/asic-apra-among-regulators-monitoring-anthropics-mythos-625217?utm_source=feed&utm_medium=rss&utm_campaign=iTnews+Business+feed,data engineering OR airflow OR python
2026-04-21T20:59:10.424309+00:00,newsapi,,iTnews,,NEXTDC to raise $1.5 billion to accelerate Sydney data centre rollout,And align with initial delivery timelines.,2026-04-20T20:36:00Z,https://www.itnews.com.au/news/nextdc-to-raise-15-billion-to-accelerate-sydney-data-centre-rollout-625218?utm_source=feed&utm_medium=rss&utm_campaign=iTnews+News+feed,data engineering OR airflow OR python
